date,gross sales,output vat,net sales
11/01/2022,80174,10607,66294
11/02/2022,67952,8987,56170
11/03/2022,89299,12004,75447
11/04/2022,173791,22604,141674
11/05/2022,153911,20391,127986
11/06/2022,68900,8986,57640
11/07/2022,47120,6382,39887
11/08/2022,30549,4103,25647
11/09/2022,118473,15613,97580
11/10/2022,121221,16178,101565
11/11/2022,88840,11537,72982
11/12/2022,171159,22741,142211
11/13/2022,127116,17074,106843
11/14/2022,483368,63811,400104
11/18/2022,207874,27351,171243
11/19/2022,175434,23490,148065
11/20/2022,108189,14752,92473
11/21/2022,216184,28342,177314
11/22/2022,215438,28600,179288
11/23/2022,229918,31061,194317
11/24/2022,117678,15779,98997
11/25/2022,383345,27916,174603
11/26/2022,266487,35581,222809
11/27/2022,157053,21293,133172
11/28/2022,120104,16081,101066
11/29/2022,119839,15948,99686
11/30/2022,225076,30540,191117
12/01/2022,395271,52468,329301
12/03/2022,291604,37058,232027
12/04/2022,141726,18903,118827
12/05/2022,97169,13017,81893
12/06/2022,213959,28524,178504
12/07/2022,137322,18049,113328
12/08/2022,131391,17444,109047
12/09/2022,312316,41471,259977
12/10/2022,194485,25720,160858
12/11/2022,196617,26105,163467
12/12/2022,163809,21617,135157
12/13/2022,136297,17989,113055
12/14/2022,122979,16404,103573
12/16/2022,323241,43509,272033
12/17/2022,398816,53594,335273
12/18/2022,193527,25942,163056
12/19/2022,164228,21848,137208
12/20/2022,249788,33788,211215
12/21/2022,347984,47211,295085
12/22/2022,1006947,132277,826912
12/24/2022,635240,83235,520919
12/27/2022,78810,10322,65140
12/28/2022,98701,13046,81805
12/29/2022,145380,19825,124538
12/30/2022,192744,25658,160561
12/31/2022,190849,25324,158274
01/02/2023,40860,5579,34881
01/03/2023,76246,10110,63187
01/04/2023,63259,8551,53457
01/05/2023,69909,9496,59363
01/06/2023,79479,10700,66878
01/07/2023,74915,10120,63329
01/08/2023,65385,8775,54912
01/09/2023,67501,9110,57072
01/10/2023,87399,11896,74349
01/11/2023,40390,5414,34375
01/12/2023,103279,13847,86542
01/13/2023,84189,11481,71758
01/14/2023,146498,19750,124206
01/15/2023,24690,3304,20727
01/16/2023,33450,4607,28793
01/17/2023,74569,10067,63122
01/18/2023,97963,13358,83519
01/19/2023,69520,9331,58402
01/20/2023,45960,6106,38974
01/21/2023,111750,15013,93952
01/22/2023,77780,10490,65940
01/23/2023,81639,11074,69335
01/24/2023,88090,11986,74924
01/25/2023,64820,8651,54632
